citycode,adname,tag,timestamp,address,name,location,rating,lng,lat
27,洪山区,自助早餐,2022/12/31 0:16,雄楚大道1025号立信富达电动车批发城,雅斯特酒店(武汉光谷步行街店),"114.402724,30.498157",4.7,114.402724,30.498157
27,硚口区,自助早餐,2022/12/31 0:22,长丰大道68号1-4层,丽枫酒店(武汉宜家园博园店),"114.183006,30.611075",4.7,114.183006,30.611075
27,武昌区,小吃街,2022/12/31 0:18,彭刘杨路232号首义园2区26号,俪居美伦酒店(武汉黄鹤楼首义广场店),"114.303813,30.538204",4.7,114.303813,30.538204
27,黄陂区,小吃街,2022/12/30 9:08,汉口北大道汉北广场165号4幢,维也纳酒店(武汉汉口北大道四季美农贸城店),"114.348863,30.717533",4.7,114.348863,30.717533
27,武昌区,小吃街,2022/12/30 9:03,中山路497号(武昌火车站地铁站G1口步行480米),汉庭酒店(武昌火车站店),"114.318233,30.536886",4.7,114.318233,30.536886
27,东西湖区,自助早餐,2022/12/30 9:04,东吴大道747号(东吴大道地铁站A口步行350米),武汉鹏程招待所,"114.131138,30.625718",4.7,114.131138,30.625718
27,江夏区,自助早餐,2022/12/30 9:20,熊廷弼街特8号高鑫名居大商业7,品荟精品酒店,"114.336325,30.352056",4.7,114.336325,30.352056
717,伍家岗区,其他,2022/12/29 13:55,夷陵大道131号(天街娱乐城一楼院内),宜昌金岛假日酒店(胜利四路店),"111.299908,30.690147",4.7,111.299908,30.690147
27,江汉区,自助早餐,2022/12/31 0:18,财神商业广场南面(汉口火车站地铁站D2口步行390米),速8酒店(武汉汉口火车站店),"114.258385,30.616728",4.8,114.258385,30.616728
27,黄陂区,自助早餐,2022/12/30 9:09,盘龙城经济开发区珑璟轩A2-1-109商,武汉璟珵悦居酒店,"114.249584,30.713118",4.8,114.249584,30.713118
27,江汉区,小吃街,2022/12/30 2:47,汉口火车站D1出口怡景商务大厦B座13楼1304,武汉怡景果然主题酒店(汉口火车站店),"114.254273,30.612906",4.8,114.254273,30.612906
27,武昌区,小吃街,2022/12/31 0:10,白沙洲大道武泰闸堤街2号(万隆广场旁),汉庭酒店(武昌火车站起义门店),"114.305354,30.519419",4.8,114.305354,30.519419
710,宜城市,其他,2022/12/31 0:17,自忠路126号,宜城蓝波湾温泉假日酒店,"112.265895,31.717553",4.8,112.265895,31.717553
27,武昌区,自助早餐,2022/12/30 9:13,首义路街办事处首义路47号2栋,运7酒店(黄鹤楼首义路地铁站店),"114.309971,30.539087",4.9,114.309971,30.539087
27,江汉区,小吃街,2022/12/30 19:20,"万松园横路58号(近青年路地铁A出口,航空路小学正对面)",帆鸣主题酒店(武汉同济医院青年路地铁站店),"114.262160,30.588212",4.9,114.26216,30.588212
715,咸安区,小吃街,2022/12/30 5:23,长安大道29号,百事达电竞酒店,"114.290196,29.863940",5,114.290196,29.86394
27,洪山区,自助早餐,2022/12/30 2:35,杨园南路华腾园6号商业楼(广华医院附近),钻石6+1假日宾馆(杨园南路欢乐大道店),"114.362530,30.582782",5,114.36253,30.582782
